productID,Item,Unit,OrderUnit,distributor,quantity
57,Vinyl Gloves,box,case (10 per),PFG/Roma,0
58,Poly Gloves,box,case,PFG/Roma,0
59,Wax/Deli Paper,box,case (10 per),PFG/Roma,0
60,"6""x6"" Foam Containers",sleeve,case (4 per),PFG/Roma,0
61,"9""x9"" Foam Containers",sleeve,case (2 per),PFG/Roma,0
62,"9"" Aluminum Tins",individual,"case (500 per, 2 sleeves)",PFG/Roma,0
63,"7"" Aluminum Tins",individual,"case (500 per, 2 sleeves)",PFG/Roma,0
64,"9"" Plastic Dome Lids",individual,"case (500 per, 2 sleeves)",PFG/Roma,0
65,"7"" Plastic Dome Lids",individual,"case (500 per, 2 sleeves)",PFG/Roma,0
66,2-ounce Portion Cups,sleeve,case (10 per),PFG/Roma,0
67,"2-ounce ""PC"" Lids",sleeve,case (20 per),PFG/Roma,0
68,3.25-ounce Portion Cups,sleeve,case (20 per),PFG/Roma,0
69,"3.25-ounce ""PC"" Lids",sleeve,case (20 per),PFG/Roma,0
70,Dish Soap - Sink Mix,bottle,case (2 per),PFG/Roma,0
71,Sanitizer - Sink Mix,bottle,case (2 per),PFG/Roma,0
72,Hand Soap (Pot & Pan),gallon,case (4 per),PFG/Roma,0
73,Bleach,gallon,case (3 per),PFG/Roma,0
74,Grill Cleaner,gallon,case (4 per),PFG/Roma,0
75,Granulated Garlic (Garlic Powder),jug,jug,PFG/Roma,0
76,Dried Rosemary,jug,jug,PFG/Roma,0
77,Ground Black Pepper,jug,jug,PFG/Roma,0
78,Crushed Red Pepper Flakes,jug,jug,PFG/Roma,0
79,Sesame Seeds,jug,jug,PFG/Roma,0
80,Taco Seasoning,container,container,PFG/Roma,0
81,Black Peppercorn,container,container,PFG/Roma,0
82,Dried Basil Leaves,case,case (5 pounds),PFG/Roma,0
83,Dried Parsley Flakes,case,case (5 pounds),PFG/Roma,0
84,Dried Oregano,case,case (5 pounds),PFG/Roma,0
85,Steel Wool (Steel Scrubbers),individual,case (12 per),PFG/Roma,0
86,"GM ""All Trumps"" Flour",bag,bag (50 pounds),PFG/Roma,0
87,Panko (Breadcrumbs),bag,bag,PFG/Roma,0
88,Granulated Salt,bag,bag (50 pounds),PFG/Roma,0
89,Granulated Sugar,bag,bag (50 pounds),PFG/Roma,0
90,Honey,jug,jug,PFG/Roma,0
91,Walnut Pieces,bag,case (3 per),PFG/Roma,0
92,Cashews,bag,case (3 per),PFG/Roma,0
93,Craisins Dried Cranberries,case,case,PFG/Roma,0
94,"Sweet Baby Ray's ""Sweet Teriyaki"" Teriyaki Sauce",jug,case (4 per),PFG/Roma,0
95,Fryer Oil,jug,case (1 per),PFG/Roma,0
96,Jumbo Red Onions,individual,bag (25 pounds),PFG/Roma,0
97,Spanish Onions,individual,bag (50 pounds),PFG/Roma,0
98,Hot Sauce (Cayenne Pepper Sauce/Buffalo Sauce),gallon,case (4 per),PFG/Roma,0
99,"Sweet Baby Ray's ""Original Barbecue"" Barbecue Sauce",gallon,case (4 per),PFG/Roma,0
100,"18"" Foodservice Film Wrap",roll,roll,PFG/Roma,0
101,"18"" Foodservice Foil Wrap",roll,roll,PFG/Roma,0
102,"12"" Plain Tortillas",bag,case (6 per),PFG/Roma,0
103,"12"" Whole Wheat Tortillas",bag,case (6 per),PFG/Roma,0
104,"12"" Sun-Dried Tomato Tortillas",bag,case (6 per),PFG/Roma,0
105,"12"" Spinach Tortillas",bag,case (6 per),PFG/Roma,,0
106,"12"" Gluten-Free Tortillas",bag,case (6 per),PFG/Roma,0
107,Red-Wine Vinegar,gallon,case (4 per),PFG/Roma,0
108,Roasted Red Pepper & Garlic Dressing,gallon,case (2 per),PFG/Roma,0
109,Raspberry Vinaigrette Dressing,gallon,case (2 per),PFG/Roma,0
110,Balsamic Vinaigrette Dressing,gallon,case (2 per),PFG/Roma,0
111,Honey Mustard Dressing,gallon,case (4 per),PFG/Roma,0
112,Lemon Juice Concentrate,bottle,case (10 per),PFG/Roma,0
113,Pickled Banana Pepper Rings,gallon,case (4 per),PFG/Roma,0
114,Pickled Sweet Bell Peppers,gallon,case (4 per),PFG/Roma,0
115,Pickled Jalapeno Pepper Rings,gallon,case (4 per),PFG/Roma,0
116,Sriracha Sauce,bottle,case (12 per),PFG/Roma,0
117,Hershey's Chocolate Syrup,bottle,case (24 per),PFG/Roma,0
118,Monin Strawberry Flavoring Syrup,bottle,case (4 per),PFG/Roma,0
119,Monin Blackberry Flavoring Syrup,bottle,case (4 per),PFG/Roma,0
120,Ketchup Refill,bag-in-box,bag-in-box,PFG/Roma,0
121,LeGout Cream Soup Base,bag,case (5 per),PFG/Roma,0
122,Nutritional Yeast,bag,case (4 per),n/a,0
123,Home-Style Croutons,bag,case (4 per),PFG/Roma,0
124,Coffee,pouch/packet,case (42 per),PFG/Roma,0
125,Coffe Filters,individual,bundle (500 pieces),PFG/Roma,0
126,Guest House Iced Tea,tea bag,case (32 per),PFG/Roma,0
127,Moist Towelettes/Moist Napkins,n/a,n/a,n/a,0
128,Sugar Packets (white sweetener),case,case (2000 pieces),PFG/Roma,0
129,Splenda Packets (yellow sweetener),case,case (2000 pieces),PFG/Roma,0
130,Equal Packets (blue sweetener),case,case (2000 pieces),PFG/Roma,0
131,Sweet 'N' Low (pink sweetener),case,case (2000 pieces),PFG/Roma,0
132,Truvia/Stevia (green sweetener),case,case,n/a,0
133,16-oz Foam Coffee/Gelato Cups,sleeve,case (20 per),PFG/Roma,0
134,Lids for 16-oz Foam Cups,sleeve,case (10 per),PFG/Roma,0
135,32-oz Soup/Gelato Containers w/ Lids,sleeve,case (10 per),PFG/Roma,0
136,12-oz Soup Containers w/ Lids,sleeve,case (10 each per),PFG/Roma,0
137,16-oz Paper Soda Cups,sleeve,case (15 per),PFG/Roma,0
138,21-oz Paper Soda Cups,sleeve,case (20 per),PFG/Roma,0
139,32-oz Paper Soda Cups,sleeve,case (15 per),PFG/Roma,0
140,Lids for 16-oz & 21-oz Soda Cups,sleeve,case (24 per),PFG/Roma,0
141,Lids for 32-oz Soda Cups,sleeve,case (12 per),PFG/Roma,0
142,"Versatainer 48-oz, 9"" Plastic Containers w/ Lids",sleeve,case (3 each per),M. Buono,0
143,"Catering Pans (medium depth, full size aluminum steam table pans)",individual,case (50 per),PFG/Roma,0
144,Catering Pan Lids,individual,case (50 per),PFG/Roma,0
145,Toilet Paper,roll,case (12 per),PFG/Roma,0
146,Foil Sheets,box,case (6 per),PFG/Roma,0
147,CO2,full tank,tank,Pepsi,0
148,Hilldale American Cheese Slices,sleeve,case (6 per),PFG/Roma,0
149,Shredded Cheddar-Jack Cheese,bag,case (4 per),PFG/Roma,0
150,Sliced Fresh Buffalo Mozzarella Cheese,sleeve,case (6 per),PFG/Roma,0
151,Bacio Diced 50/50 Blend Mozzarella Cheese,bag,case (6 per),PFG/Roma,0
152,Ricotta Cheese,tub,case (6 per),PFG/Roma,0
153,Provolone Cheese,stick/piece,case (2 per),PFG/Roma,0
154,Blue Cheese Crumbles,bag,bag,PFG/Roma,0
155,Feta Cheese Crumbles,bag,case (2 per),PFG/Roma,0
156,Shaved Parmesan Cheese,bag,case (1 per),PFG/Roma,0
157,Grated Romano Cheese,bag,bag,PFG/Roma,0
158,Heavy Whipping Cream,carton/quart,case (12 per),PFG/Roma,0
159,Half & Half,carton/half gallon,case (6 per),PFG/Roma,0
160,Milk,carton/half gallon,case (6 per),PFG/Roma,0
161,Fresh Clams,bag,case (1 per),M. Buono & PFG,0
162,Fresh Mussels,bag,case (1 per),M. Buono & PFG,0
163,Creamy Caesar Dressing,gallon,case (4 per),PFG/Roma,0
164,Buttermilk Ranch Dressing,gallon,case (4 per),PFG/Roma,0
165,Chunky Blue Cheese Dressing,gallon,case (4 per),PFG/Roma,0
166,Mediterranean Feta Dressing (Greek Dressing),gallon,case (4 per),PFG/Roma,0
167,Hot Pepper Spread,gallon,case (4 per),PFG/Roma,0
168,Sour Cream,gallon,gallon,PFG/Roma,0
169,Mayonnaise,gallon,gallon,PFG/Roma,0
170,Salsa,gallon,gallon,PFG/Roma,0
171,Kalamata-Style Olives,gallon,gallon,PFG/Roma,0
172,Capicola,stick/piece,stick/piece,PFG/Roma & Buono,0
173,Prosciutto,stick/piece,stick/piece,PFG/Roma & Buono,0
174,Salami,stick/piece,stick/piece,PFG/Roma & Buono,0
175,Whole Dill Pickles,bucket,bucket,PFG/Roma,0
176,Dill Pickle Spears,bucket,bucket,PFG/Roma,0
177,Jackfruit,bag,case (4 per),PFG/Roma,0
178,Fresh Basil,box/bag (kilo),box,PFG/Roma & FFL,0
179,Fresh Parsley,bunch,bunch,Fresh for Less,,0
180,Celery,bundle/stalk,bundle/stalk,PFG/Roma & FFL,0
181,"Whole, Peeled Garlic Cloves",container,container (5 pounds),PFG/Roma & FFL,0
182,Lemons,individual,case (95 per),PFG/Roma & FFL,,0
183,Iceberg Lettuce,head,case (24 per),Fresh for Less & PFG,0
184,Chopped Romaine Lettuce,bag,case (6 per),PFG/Roma,0
185,Thin Sliced Mushrooms,tub,"case (2 per, 5 pounds each)",PFG/Roma,0
186,Romaine Lettuce Hearts,bag,case (12 per),Fresh for Less,0
187,Sliced Mushrooms,case,case (10 pounds),Fresh for Less,0
188,Green Peppers,individual,individual/by the lb.,Fresh for Less,0
189,Green Peppers,individual,case (5 pound increments),PFG/Roma,0
190,Baby Spinach Leaves,bag,bag (2 pounds),Fresh for Less & PFG,0
191,Arugula,bag,"bag (2 pounds, 2 per case)",Fresh for Less & PFG,0
192,Tomatoes,case,case (25 pounds),Fresh for Less,0
193,Shallots,individual,individual,Fresh for Less,0
194,Yeast,block/by the pound,block/by the pound,PFG/Roma & bakery,0
195,White Bread,loaf/bag,loaf/bag,n/a,0
196,Whole Wheat Bread,loaf/bag,loaf/bag,n/a,0
197,Butter,block/by the pound,case (36 per),PFG/Roma,0
198,Broccoli Florets,bag,case (12 per),PFG/Roma,0
